id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board;structural_similarity_score;analysis_category;explanation;relational_count;attribute_count;relational_expressions;attribute_expressions;key_evidence;is_structural;is_mixed;is_non_structural;relational_ratio;analysis_status;processed_timestamp
1;2;8;0;5bk1/3QR2p/2B5/8/8/8/4P3/3K4;in klassisches Mattmuster bahnt sich an. Die weiße Dame und der Turm kontrollieren die 7. Reihe, während der Läufer die Diagonale beherrscht. Der schwarze König ist in der Ecke gefangen, mit dem eigenen Bauern als Hindernis.;5;54f1c9ac7a;Advanced;1;5;2;1;4;1;4;;;1433;0.765625;8;1;20.651300000000003;8;structural;The response demonstrates strong structural similarity by focusing on the relationships between pieces and their collective control over the board. The phrases 'kontrollieren die 7. Reihe' and 'beherrscht die Diagonale' highlight how the pieces work together to dominate key areas, while 'ist in der Ecke gefangen' and 'mit dem eigenen Bauern als Hindernis' describe the relational constraints on the black king. Although there are mentions of individual pieces, the emphasis is on their interactions and strategic positioning.;4;4;"kontrollieren die 7. Reihe; beherrscht die Diagonale; ist in der Ecke gefangen; mit dem eigenen Bauern als Hindernis";"weiße Dame; Turm; Läufer; schwarze König";"kontrollieren die 7. Reihe; beherrscht die Diagonale; ist in der Ecke gefangen; mit dem eigenen Bauern als Hindernis";1;0;0;0.5;success;2025-07-31 09:53:38
3;5;14;-8;8/3r2p1/6kp/8/2N5/8/4K3/8;Der Springer gabelt den König und den Turm, wodurch der König zum Ziehen gezwungen wird und die Optionen von Schwarz eingeschränkt werden.;2;54f1c9ac7a;Advanced;1;4;2;1;4;1;5;;;1433;0.703125;6;1;33.6898;9;structural;The response demonstrates strong structural thinking by focusing on the relationships between the knight (Springer), king (König), and rook (Turm). The use of 'gabelt' (fork) highlights a tactical interaction where the knight simultaneously threatens both the king and rook. The phrases 'gezwungen wird' (forced to move) and 'eingeschränkt werden' (options are restricted) further emphasize the causal and strategic consequences of this relational interaction, rather than just describing individual piece attributes.;3;4;"gabelt; gezwungen wird; eingeschränkt werden";"Springer; König; Turm; Schwarz";"Der Springer gabelt den König und den Turm; der König zum Ziehen gezwungen wird; die Optionen von Schwarz eingeschränkt werden";1;0;0;0.4285714285714285;success;2025-07-31 09:54:29
4;3;13;-10;8/8/8/1KN4k/8/8/8/8;Nicht genügen Material. Trotz weißem Pferd.;4;54f1c9ac7a;Advanced;2;2;2;1;4;1;4;;;1433;0.75;3;1;14.925300000000004;1;non-structural;The response focuses on the lack of material and the color of a single piece ('weißem Pferd'), which are attribute-based descriptions. There is no mention of relationships between pieces, interactions, or strategic patterns, indicating a non-structural focus.;0;2;;"Nicht genügen Material; weißem Pferd";"Nicht genügen Material; weißem Pferd";0;0;1;0.0;success;2025-07-31 11:32:15
6;14;12;-1;3qk3/r7/RrR1pP2/8/3p4/2PK4/8/8;"Türme auf den a- und b-Linien stehen in einer interessanten Balance. Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners. Diese Turmkonfiguration erinnert an das Konzept der ""Turmverdopplung"", jedoch mit dem Unterschied, dass die Türme auf benachbarten Linien postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht. Dame auf d8 spielt eine Schlüsselrolle in dieser Stellung. Ihre Position ist multifunktional: Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6.";3;54f1c9ac7a;Advanced;2;4;2;0;3;1;4;;1.0;1433;0.6875;11;1;32.3074;9;structural;The response demonstrates strong structural similarity by focusing on the relationships and interactions between pieces, such as the balance and mutual pressure created by the rooks on the a- and b-files, the control over the center and queenside, and the multifunctional role of the queen. The relational expressions dominate the analysis, showing a deep understanding of how the pieces work together strategically.;7;2;"stehen in einer interessanten Balance; schafft gegenseitigen Druck; neutralisiert gleichzeitig die Vorteile des Gegners; erinnert an das Konzept der 'Turmverdopplung'; postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht; übt sie Druck auf die d-Linie aus; bietet sie Unterstützung für den Turm auf b6";"Türme auf den a- und b-Linien; Dame auf d8";"Türme auf den a- und b-Linien stehen in einer interessanten Balance; Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners; Diese Turmkonfiguration erinnert an das Konzept der 'Turmverdopplung'; Dame auf d8 spielt eine Schlüsselrolle in dieser Stellung. Ihre Position ist multifunktional: Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6";1;0;0;0.7777777777777778;success;2025-07-31 09:55:11
9;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Dieses mal habe ich alles gleich belassen.;2;54f1c9ac7a;Advanced;2;5;2;1;1;1;2;;;1433;0.984375;11;1;25.8196;1;non-structural;The response 'Dieses mal habe ich alles gleich belassen' focuses on maintaining the current state without any reference to relationships between pieces, their interactions, or strategic patterns. It describes a general, isolated action without relational context, indicating a non-structural focus.;0;1;;gleich belassen;alles gleich belassen;0;0;1;0.0;success;2025-07-31 09:55:29
10;15;12;-6;8/2R5/2rk4/5p2/5P2/4K3/8/8;Weißer Turm auf c7 attackiert den schwarzen Turm auf c6 und wird dann vom schwarzen König genommen. in der zwischenzeit kann dann der weiße König den schwarzen Bauern sichern.;3;54f1c9ac7a;Advanced;1;3;2;0;3;1;3;;1.0;1433;0.71875;6;1;36.3244;7;structural;The response demonstrates a strong focus on the relationships between pieces, such as the white rook attacking the black rook and the subsequent capture by the black king. It also describes how the white king can secure the black pawn, indicating an understanding of piece interactions and strategic consequences.;3;3;"attackiert; wird dann vom schwarzen König genommen; kann dann der weiße König den schwarzen Bauern sichern";"Weißer Turm auf c7; schwarzen Turm auf c6; schwarzen Bauern";"attackiert den schwarzen Turm auf c6; wird dann vom schwarzen König genommen; kann dann der weiße König den schwarzen Bauern sichern";1;0;0;0.5;success;2025-07-31 09:56:03
11;2;8;0;8/4p1r1/4k3/5N2/4Q1P1/8/8/3RK3;Diese komplexe Stellung zeigt einen Angriff auf den König im Zentrum. Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt. Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen, während der g4-Bauer wichtige Fluchtfelder kontrolliert.;5;54f1cace7a;Advanced;2;5;2;1;4;1;2;;;1289;0.796875;8;1;16.9751;8;structural;The response demonstrates strong structural thinking by focusing on the relationships and interactions between pieces, such as the knight threatening the king and weakening the defense, the queen and rook increasing pressure, and the pawn controlling escape squares. While it mentions individual pieces, the emphasis is on their roles and interactions within the position.;6;5;"Schlüsselstein in der Stellung; bedroht; Verteidigung schwächt; perfekt positioniert; Druck zu erhöhen; kontrolliert";"weiße Springer auf f5; schwarzen König; weiße Dame; Turm; g4-Bauer";"Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt; Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen; der g4-Bauer wichtige Fluchtfelder kontrolliert";1;0;0;0.5454545454545454;success;2025-07-31 09:56:29
12;1;7;0;7k/5Rn1/6PN/8/8/2B5/8/2K5;Der weiße Turm auf e7 und der Bauer auf g6 bilden einen starken Mattangriff.;3;54f1cace7a;Advanced;1;4;2;1;5;1;5;;;1289;0.90625;7;1;39.2923;8;structural;The response demonstrates strong structural thinking by focusing on the relationship between the white rook on e7 and the pawn on g6, which together form a strong mating attack. This highlights the interaction and coordination between the pieces rather than just their individual attributes or positions.;1;2;bilden einen starken Mattangriff;"Der weiße Turm auf e7; der Bauer auf g6";bilden einen starken Mattangriff;1;0;0;0.3333333333333333;success;2025-07-31 09:56:43
15;11;8;2;2k5/2p5/4n2b/6r1/2NP2RP/3K4/8/8;Auch hier gleiht sich das Material aus. Keiner hat irgendwelche Vorteile. Auch wenn es unterschiedliches Material ist.;5;54f1cace7a;Advanced;1;4;2;0;3;1;4;;1.0;1289;0.765625;10;1;36.3396;2;non-structural;The response focuses on the material balance and the absence of advantages, which are attribute-based descriptions. There is no mention of relationships between pieces, their interactions, or strategic patterns. The focus is on the surface-level comparison of material rather than deeper relational structures.;0;3;;"Auch hier gleiht sich das Material aus; Keiner hat irgendwelche Vorteile; Auch wenn es unterschiedliches Material ist";"Auch hier gleiht sich das Material aus; Keiner hat irgendwelche Vorteile; Auch wenn es unterschiedliches Material ist";0;0;1;0.0;success;2025-07-31 09:57:08
17;12;8;-1;8/8/4bb1k/7p/8/2B3P1/5K2/8;Läufer auf c3 und Läufer auf f6 stechen sich gegenseitig aus.  Der Rest gleicht sich ebenfalls aus und es kann im Remi enden.;5;54f1cace7a;Advanced;2;5;2;1;4;1;3;;;1289;0.765625;7;1;31.1818;7;structural;The response demonstrates structural thinking by focusing on the mutual opposition and balancing relationship between the bishops on c3 and f6, as well as the overall balance leading to a potential draw. The relational expressions highlight interactions and outcomes rather than isolated attributes.;2;2;"stechen sich gegenseitig aus; gleicht sich ebenfalls aus";"Läufer auf c3; Läufer auf f6";"stechen sich gegenseitig aus; gleicht sich ebenfalls aus";1;0;0;0.5;success;2025-07-31 09:57:20
