id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board;structural_similarity_score;analysis_category;explanation;relational_count;attribute_count;relational_expressions;attribute_expressions;key_evidence;is_structural;is_mixed;is_non_structural;relational_ratio;analysis_status;processed_timestamp
1;2;8;0;5bk1/3QR2p/2B5/8/8/8/4P3/3K4;in klassisches Mattmuster bahnt sich an. Die weiße Dame und der Turm kontrollieren die 7. Reihe, während der Läufer die Diagonale beherrscht. Der schwarze König ist in der Ecke gefangen, mit dem eigenen Bauern als Hindernis.;5;54f1c9ac7a;Advanced;1;5;2;1;4;1;4;;;1433;0.765625;8;1;20.651300000000003;8;structural;The response focuses on how pieces interact and control areas of the board, which is characteristic of structural similarity. Phrases like 'Dame und der Turm kontrollieren die 7. Reihe' and 'Läufer die Diagonale beherrscht' describe coordinated action and control over specific board segments. The mention of the king being 'in der Ecke gefangen, mit dem eigenen Bauern als Hindernis' also describes a relational situation where the pawn's position impedes the king's escape, highlighting a structural constraint. While individual pieces are named, the emphasis is on their collective action and positional relationships.;3;7;"kontrollieren die 7. Reihe; Läufer die Diagonale beherrscht; eigenen Bauern als Hindernis";"klassiches Mattmuster; weiße Dame; Turm; Läufer; schwarze König; in der Ecke; eigenen Bauern";"Die weiße Dame und der Turm kontrollieren die 7. Reihe; während der Läufer die Diagonale beherrscht; Der schwarze König ist in der Ecke gefangen, mit dem eigenen Bauern als Hindernis";1;0;0;0.3;success;2025-07-31 09:51:13
3;5;14;-8;8/3r2p1/6kp/8/2N5/8/4K3/8;Der Springer gabelt den König und den Turm, wodurch der König zum Ziehen gezwungen wird und die Optionen von Schwarz eingeschränkt werden.;2;54f1c9ac7a;Advanced;1;4;2;1;4;1;5;;;1433;0.703125;6;1;33.6898;9;structural;The response focuses on the interaction between the knight, king, and rook, describing a tactical fork. The key relational expression is 'gabelt' (forks), which describes a relationship between multiple pieces and their impact on the opponent's options. The consequence of this fork ('wodurch der König zum Ziehen gezwungen wird' - forcing the king to move) and the strategic outcome ('beschränkt die Optionen von Schwarz' - restricting Black's options) are also relational and highlight the interconnectedness of the position's elements. While individual pieces are mentioned, they are discussed in the context of their interaction and the resulting strategic implications, not their isolated attributes.;3;4;"gabelt den König und den Turm; wodurch der König zum Ziehen gezwungen wird; beschränkt die Optionen von Schwarz";"Springer; König; Turm; Schwarz";"Der Springer gabelt den König und den Turm; wodurch der König zum Ziehen gezwungen wird; beschränkt die Optionen von Schwarz";1;0;0;0.42857142857142855;success;2025-07-31 09:51:20
4;3;13;-10;8/8/8/1KN4k/8/8/8/8;Nicht genügen Material. Trotz weißem Pferd.;4;54f1c9ac7a;Advanced;2;2;2;1;4;1;4;;;1433;0.75;3;1;14.925300000000004;2;non-structural;The response focuses on the lack of material ('Nicht genügen Material') and mentions a specific piece ('weißem Pferd') without describing any interactions or relationships between pieces or how they control the board. This is a description of isolated attributes and quantities rather than relational structures.;0;2;;"Nicht genügen Material; weißem Pferd";"Nicht genügen Material; weißem Pferd";0;0;1;0.0;success;2025-07-31 09:51:27
6;14;12;-1;3qk3/r7/RrR1pP2/8/3p4/2PK4/8/8;"Türme auf den a- und b-Linien stehen in einer interessanten Balance. Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners. Diese Turmkonfiguration erinnert an das Konzept der ""Turmverdopplung"", jedoch mit dem Unterschied, dass die Türme auf benachbarten Linien postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht. Dame auf d8 spielt eine Schlüsselrolle in dieser Stellung. Ihre Position ist multifunktional: Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6.";3;54f1c9ac7a;Advanced;2;4;2;0;3;1;4;;1.0;1433;0.6875;11;1;32.3074;8;structural;The response demonstrates a high degree of structural similarity by focusing on the relationships and interactions between chess pieces rather than their individual attributes or isolated positions. It describes how the rooks on the a- and b-lines create mutual pressure, neutralize opponent advantages, and control key areas of the board. The interaction between the rooks and the queen is also highlighted, emphasizing the queen's support role for a rook. The mention of 'Turmverdopplung' (rook doubling) and its adaptation to adjacent files further points to a relational understanding of piece configurations and their strategic implications.;6;7;"stehen in einer interessanten Balance; schafft gegenseitigen Druck; neutralisiert gleichzeitig die Vorteile des Gegners; ermöglicht eine Kontrolle über das Zentrum und den Damenflügel; übt Druck auf die d-Linie aus; bietet Unterstützung für den Turm auf b6";"Türme auf den a- und b-Linien; halboffenen Linien; Turmkonfiguration; Türme auf benachbarten Linien; Dame auf d8; Position ist multifunktional; Turm auf b6";"Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners.; Diese Turmkonfiguration erinnert an das Konzept der ""Turmverdopplung"", jedoch mit dem Unterschied, dass die Türme auf benachbarten Linien postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht.; Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6.";1;0;0;0.46153846153846156;success;2025-07-31 09:51:35
9;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Dieses mal habe ich alles gleich belassen.;2;54f1c9ac7a;Advanced;2;5;2;1;1;1;2;;;1433;0.984375;11;1;25.8196;0;non-structural;The response 'Dieses mal habe ich alles gleich belassen' (This time I left everything the same) indicates a focus on maintaining the current state of the board or pieces rather than describing any specific relationships or interactions between them. There is no mention of how pieces support each other, control squares together, or form strategic patterns. The phrase 'alles gleich belassen' refers to the overall state or attributes of the pieces/position, not their relational structure.;0;1;;alles gleich belassen;alles gleich belassen;0;0;1;0.0;success;2025-07-31 09:51:41
10;15;12;-6;8/2R5/2rk4/5p2/5P2/4K3/8/8;Weißer Turm auf c7 attackiert den schwarzen Turm auf c6 und wird dann vom schwarzen König genommen. in der zwischenzeit kann dann der weiße König den schwarzen Bauern sichern.;3;54f1c9ac7a;Advanced;1;3;2;0;3;1;3;;1.0;1433;0.71875;6;1;36.3244;6;mixed;The response describes an attack and capture sequence between pieces (Rook on c7 attacks Rook on c6, Rook on c6 is taken by King). This involves relationships between pieces. However, it also mentions the King securing a pawn, which is a more isolated action. The phrase 'in der zwischenzeit' (in the meantime) suggests a temporal sequence but not necessarily a deep structural interaction. The focus is on specific piece actions and their immediate consequences rather than broader strategic patterns or coordinated piece play.;3;6;"attackiert; genommen; sichern";"Weißer Turm auf c7; schwarzen Turm auf c6; schwarzen König; weiße König; schwarzen Bauern; in der zwischenzeit";"Weißer Turm auf c7 attackiert den schwarzen Turm auf c6; wird dann vom schwarzen König genommen; kann dann der weiße König den schwarzen Bauern sichern";0;1;0;0.3333333333333333;success;2025-07-31 09:51:48
11;2;8;0;8/4p1r1/4k3/5N2/4Q1P1/8/8/3RK3;Diese komplexe Stellung zeigt einen Angriff auf den König im Zentrum. Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt. Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen, während der g4-Bauer wichtige Fluchtfelder kontrolliert.;5;54f1cace7a;Advanced;2;5;2;1;4;1;2;;;1289;0.796875;8;1;16.9751;7;structural;The response focuses on how pieces interact and influence each other to achieve strategic goals. Phrases like 'Angriff auf den König', 'Springer... ist ein Schlüsselstein... der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt', and 'Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen' highlight the relationships and coordinated actions of pieces. The mention of the pawn controlling escape squares also describes a relational function. While individual pieces and their locations are mentioned ('weiße Springer auf f5'), the primary emphasis is on their roles and interactions within the overall position.;6;7;"Angriff auf den König; Springer auf f5 ist ein Schlüsselstein; bedroht; Verteidigung schwächt; Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen; Bauer kontrolliert wichtige Fluchtfelder";"komplexe Stellung; König im Zentrum; weiße Springer auf f5; schwarzen König; weiße Dame; Turm; g4-Bauer";"Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt.; Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen; während der g4-Bauer wichtige Fluchtfelder kontrolliert.";1;0;0;0.46153846153846156;success;2025-07-31 09:51:56
12;1;7;0;7k/5Rn1/6PN/8/8/2B5/8/2K5;Der weiße Turm auf e7 und der Bauer auf g6 bilden einen starken Mattangriff.;3;54f1cace7a;Advanced;1;4;2;1;5;1;5;;;1289;0.90625;7;1;39.2923;7;structural;The response describes two pieces (white rook on e7, pawn on g6) and their combined action ('bilden einen starken Mattangriff' - form a strong mating attack). The focus is on how these pieces work together to create a strategic threat (mating attack), which highlights a relational aspect of their interaction rather than just their individual attributes or positions. The phrase 'bilden einen starken Mattangriff' implies a coordinated effort and a shared strategic goal.;1;2;bilden einen starken Mattangriff;"Der weiße Turm auf e7; der Bauer auf g6";Der weiße Turm auf e7 und der Bauer auf g6 bilden einen starken Mattangriff;1;0;0;0.3333333333333333;success;2025-07-31 09:52:03
15;11;8;2;2k5/2p5/4n2b/6r1/2NP2RP/3K4/8/8;Auch hier gleiht sich das Material aus. Keiner hat irgendwelche Vorteile. Auch wenn es unterschiedliches Material ist.;5;54f1cace7a;Advanced;1;4;2;0;3;1;4;;1.0;1289;0.765625;10;1;36.3396;3;non-structural;The response focuses on the concept of 'material' being balanced and the absence of 'advantages'. While this relates to the overall state of the game, it does not describe the relationships or interactions between specific pieces or how they control the board. The mention of 'different material' is a statement about attributes of the pieces themselves, not how they relate to each other structurally. There are no expressions indicating piece coordination, mutual support, or strategic interplay.;0;3;;"Material; Vorteile; unterschiedliches Material";"Auch hier gleiht sich das Material aus.; Keiner hat irgendwelche Vorteile.; Auch wenn es unterschiedliches Material ist.";0;0;1;0.0;success;2025-07-31 09:52:10
17;12;8;-1;8/8/4bb1k/7p/8/2B3P1/5K2/8;Läufer auf c3 und Läufer auf f6 stechen sich gegenseitig aus.  Der Rest gleicht sich ebenfalls aus und es kann im Remi enden.;5;54f1cace7a;Advanced;2;5;2;1;4;1;3;;;1289;0.765625;7;1;31.1818;7;structural;The response focuses on the mutual interaction and neutralization of two pieces ('stechen sich gegenseitig aus' - mutually neutralize each other) and a general balancing of the remaining forces ('Der Rest gleicht sich ebenfalls aus' - the rest also balance each other out). This highlights the relationship and interaction between the pieces rather than their individual attributes or isolated positions. The mention of the specific squares (c3, f6) is contextual to the relational statement.;2;3;"stechen sich gegenseitig aus; gleicht sich ebenfalls aus";"Läufer auf c3; Läufer auf f6; Der Rest";"Läufer auf c3 und Läufer auf f6 stechen sich gegenseitig aus; Der Rest gleicht sich ebenfalls aus";1;0;0;0.4;success;2025-07-31 09:52:16
19;6;11;0;3k4/1pppp3/8/8/8/8/1PPPPP2/3K4;Das war sozusagend ie gleiche Anzahl an Bauern, jedoch an der jeweils in der 2 und 7 Linie.;5;54f1cace7a;Advanced;1;2;2;1;4;1;3;;;1289;0.671875;11;1;24.1061;2;non-structural;The response focuses on the quantity of pawns ('gleiche Anzahl an Bauern') and their specific locations on the board ('an der jeweils in der 2 und 7 Linie'). There is no mention of how these pawns interact with each other, support other pieces, or contribute to a larger strategic pattern. The description is purely about the count and placement of individual pieces, which aligns with attribute-based or surface-level descriptions rather than structural relationships.;0;2;;"gleiche Anzahl an Bauern; an der jeweils in der 2 und 7 Linie";"gleiche Anzahl an Bauern; an der jeweils in der 2 und 7 Linie";0;0;1;0.0;success;2025-07-31 09:52:23
