id;image_path;figures_original;difference_figuren;rating;answer;fascination;participant_id;expertise;created_at;updated_at;fromwhere;zuversichtlich;beurteilt;beurteiler1_yesno;beurteiler1_scaled;beurteiler2_yesno;beurteiler2_scaled;use_this;beurteiler3_yesno;ELO-RATING;accuracy_pixel_by_pixel;figuren;analogy_yes_no;time_on_board;structural_similarity_score;analysis_category;explanation;relational_count;attribute_count;relational_expressions;attribute_expressions;key_evidence;is_structural;is_mixed;is_non_structural;relational_ratio;analysis_status;processed_timestamp;error_message
1;2;8;0;5bk1/3QR2p/2B5/8/8/8/4P3/3K4;in klassisches Mattmuster bahnt sich an. Die weiße Dame und der Turm kontrollieren die 7. Reihe, während der Läufer die Diagonale beherrscht. Der schwarze König ist in der Ecke gefangen, mit dem eigenen Bauern als Hindernis.;5;54f1c9ac7a;Advanced;2024-07-11 09:21:51;2024-11-03 17:49:40;1;5;2;1;4;1;4;;;1433;0.765625;8;1;20.651300000000003;8.0;structural;The response demonstrates structural thinking by describing how multiple pieces coordinate to control specific areas of the board (Dame und Turm kontrollieren die 7. Reihe, Läufer die Diagonale) and how the black king is trapped in relationship to these controlling pieces and his own pawn. The relational expressions focus on interactions between pieces and their combined effect on the position, rather than just describing isolated attributes of individual pieces.;4.0;6.0;"kontrollieren gemeinsam; beherrscht; in der Ecke gefangen; eigenen Bauern als Hindernis";"weiße Dame; Turm; Läufer; schwarze König; 7. Reihe; Diagonale";"Die weiße Dame und der Turm kontrollieren die 7. Reihe; der Läufer die Diagonale beherrscht; Der schwarze König ist in der Ecke gefangen; mit dem eigenen Bauern als Hindernis";1.0;0.0;0.0;0.4;success;2025-07-31 09:42:04;
3;5;14;-8;8/3r2p1/6kp/8/2N5/8/4K3/8;Der Springer gabelt den König und den Turm, wodurch der König zum Ziehen gezwungen wird und die Optionen von Schwarz eingeschränkt werden.;2;54f1c9ac7a;Advanced;2024-07-11 09:27:22;2024-11-09 16:22:30;1;4;2;1;4;1;5;;;1433;0.703125;6;1;33.6898;9.0;structural;The response demonstrates strong structural thinking by focusing on the relational dynamics between pieces. The phrase 'gabelt' indicates a tactical relationship where the knight simultaneously attacks two pieces, creating a fork. The expressions 'zum Ziehen gezwungen' and 'eingeschränkt werden' highlight causal relationships between the knight's action and the resulting constraints on the opponent's options. While piece names like 'Springer', 'König', and 'Turm' are attributes, they serve as anchors for describing the relational pattern. The mention of 'Schwarz' refers to the player rather than a surface attribute, maintaining the structural focus.;3.0;4.0;"gabelt; zum Ziehen gezwungen; eingeschränkt werden";"Springer; König; Turm; Schwarz";"gabelt den König und den Turm; zum Ziehen gezwungen; Optionen von Schwarz eingeschränkt";1.0;0.0;0.0;0.4285714285714285;success;2025-07-31 09:42:13;
4;3;13;-10;8/8/8/1KN4k/8/8/8/8;Nicht genügen Material. Trotz weißem Pferd.;4;54f1c9ac7a;Advanced;2024-07-11 09:32:16;2024-11-10 10:34:14;2;2;2;1;4;1;4;;;1433;0.75;3;1;14.925300000000004;1.0;non-structural;The response focuses on material insufficiency and mentions a white knight as isolated attributes without describing any relationships between pieces, strategic interactions, or structural patterns. There are no relational expressions indicating piece coordination, control of squares, or causal relationships.;0.0;2.0;;"Nicht genügen Material; weißem Pferd";"Nicht genügen Material; weißem Pferd";0.0;0.0;1.0;0.0;success;2025-07-31 11:03:40;
6;14;12;-1;3qk3/r7/RrR1pP2/8/3p4/2PK4/8/8;"Türme auf den a- und b-Linien stehen in einer interessanten Balance. Ihre Präsenz auf diesen halboffenen Linien schafft gegenseitigen Druck und neutralisiert gleichzeitig die Vorteile des Gegners. Diese Turmkonfiguration erinnert an das Konzept der ""Turmverdopplung"", jedoch mit dem Unterschied, dass die Türme auf benachbarten Linien postiert sind, was eine Kontrolle über das Zentrum und den Damenflügel ermöglicht. Dame auf d8 spielt eine Schlüsselrolle in dieser Stellung. Ihre Position ist multifunktional: Einerseits übt sie Druck auf die d-Linie aus, andererseits bietet sie Unterstützung für den Turm auf b6.";3;54f1c9ac7a;Advanced;2024-07-11 09:38:58;2024-11-10 14:01:04;2;4;2;0;3;1;4;;1.0;1433;0.6875;11;1;32.3074;9.0;structural;The response demonstrates strong structural thinking by analyzing relationships between rooks (mutual pressure, neutralizing advantages, control over central files) and the queen's multifunctional role in supporting the rook and exerting file pressure. The mention of 'Turmverdopplung' (rook doubling) references a strategic pattern rather than isolated positions. While specific piece positions (a/b-files, d8) are mentioned, they are contextualized within relational dynamics rather than described as isolated attributes.;6.0;2.0;"stehen in einer interessanten Balance; gegenseitigen Druck; neutralisiert die Vorteile des Gegners; Turmkonfiguration; Kontrolle über das Zentrum und den Damenflügel ermöglicht; unterstützung für den Turm auf b6";"a- und b-Linien; Dame auf d8";"gegenseitigen Druck; neutralisiert die Vorteile des Gegners; Kontrolle über das Zentrum; unterstützung für den Turm auf b6";1.0;0.0;0.0;0.75;success;2025-07-31 09:44:11;
9;6;11;0;8/8/7k/4pPp1/3pP1P1/2pP3K/2P5/8;Dieses mal habe ich alles gleich belassen.;2;54f1c9ac7a;Advanced;2024-07-11 09:49:12;2024-11-17 15:46:58;2;5;2;1;1;1;2;;;1433;0.984375;11;1;25.8196;1.0;non-structural;The response 'Dieses mal habe ich alles gleich belassen' (This time I kept everything the same) shows minimal structural thinking. It doesn't describe any relationships between pieces, their interactions, or strategic patterns. The statement is extremely general and doesn't provide any specific information about the chess position, piece functions, or strategic considerations. It's a surface-level description of maintaining the status quo without any relational content.;0.0;1.0;;Dieses mal habe ich alles gleich belassen;Dieses mal habe ich alles gleich belassen;0.0;0.0;1.0;0.0;success;2025-07-31 09:44:19;
10;15;12;-6;8/2R5/2rk4/5p2/5P2/4K3/8/8;Weißer Turm auf c7 attackiert den schwarzen Turm auf c6 und wird dann vom schwarzen König genommen. in der zwischenzeit kann dann der weiße König den schwarzen Bauern sichern.;3;54f1c9ac7a;Advanced;2024-07-11 09:52:01;2024-11-17 18:07:25;1;3;2;0;3;1;3;;1.0;1433;0.71875;6;1;36.3244;7.0;structural;The response demonstrates structural thinking by describing the interaction between pieces and the causal relationships in the position. It shows how the white rook attacking the black rook creates an opportunity for the white king to secure the black pawn while the black king is occupied with capturing the white rook. This demonstrates understanding of piece coordination and temporal relationships. However, it contains some attribute expressions that identify the specific pieces involved.;3.0;4.0;"attackiert; wird ... genommen; in der zwischenzeit kann ... sichern";"Weißer Turm; schwarzen Turm; weiße König; schwarzen Bauern";"attackiert den schwarzen Turm; wird dann vom schwarzen König genommen; in der zwischenzeit kann dann der weiße König den schwarzen Bauern sichern";1.0;0.0;0.0;0.4285714285714285;success;2025-07-31 09:44:32;
11;2;8;0;8/4p1r1/4k3/5N2/4Q1P1/8/8/3RK3;Diese komplexe Stellung zeigt einen Angriff auf den König im Zentrum. Der weiße Springer auf f5 ist ein Schlüsselstein in der Stellung, der den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt. Die weiße Dame und der Turm sind perfekt positioniert, um den Druck zu erhöhen, während der g4-Bauer wichtige Fluchtfelder kontrolliert.;5;54f1cace7a;Advanced;2024-04-30 06:40:36;2024-11-03 17:16:41;2;5;2;1;4;1;2;;;1289;0.796875;8;1;16.9751;8.0;structural;The response demonstrates strong structural thinking by focusing on the relationships and interactions between pieces in the context of a king-side attack. It describes how the white knight on f5 serves as a key piece threatening the black king while simultaneously weakening the defense. The description of the queen and rook being 'perfectly positioned' to increase pressure shows understanding of piece coordination. The mention of the g4-pawn controlling important escape squares highlights spatial relationships and strategic function rather than just piece identity. While there are some basic attribute references to piece colors and types, the dominant focus is on how the pieces work together in a strategic pattern.;7.0;4.0;"Angriff auf den König; Schlüsselstein in der Stellung; den schwarzen König bedroht; die Verteidigung schwächt; sind perfekt positioniert; Druck zu erhöhen; wichtige Fluchtfelder kontrolliert";"weiße Springer auf f5; weiße Dame; Turm; g4-Bauer";"Schlüsselstein in der Stellung; den schwarzen König bedroht und gleichzeitig die Verteidigung schwächt; sind perfekt positioniert, um den Druck zu erhöhen; g4-Bauer wichtige Fluchtfelder kontrolliert";1.0;0.0;0.0;0.6363636363636364;success;2025-07-31 09:44:47;
12;1;7;0;7k/5Rn1/6PN/8/8/2B5/8/2K5;Der weiße Turm auf e7 und der Bauer auf g6 bilden einen starken Mattangriff.;3;54f1cace7a;Advanced;2024-04-30 06:42:13;2024-11-09 14:30:40;1;4;2;1;5;1;5;;;1289;0.90625;7;1;39.2923;5.0;mixed;The response mentions two pieces forming a 'starken Mattangriff' (strong mating attack), indicating some relational thinking about their combined strategic role. However, the description primarily identifies individual pieces (Turm, Bauer) and their specific positions (e7, g6) without elaborating on the specific interactions or relational structures (e.g., support, control, coordination) that enable the attack. The relational phrase 'bilden... Mattangriff' suggests minimal relational context but lacks detailed structural mapping.;1.0;2.0;bilden einen starken Mattangriff;"weiße Turm auf e7; Bauer auf g6";"bilden einen starken Mattangriff; weiße Turm auf e7; Bauer auf g6";0.0;1.0;0.0;0.3333333333333333;success;2025-07-31 09:45:00;
15;11;8;2;2k5/2p5/4n2b/6r1/2NP2RP/3K4/8/8;Auch hier gleiht sich das Material aus. Keiner hat irgendwelche Vorteile. Auch wenn es unterschiedliches Material ist.;5;54f1cace7a;Advanced;2024-04-30 06:51:24;2024-11-10 11:25:08;1;4;2;0;3;1;4;;1.0;1289;0.765625;10;1;36.3396;0.0;non-structural;The response focuses on material equality as a surface-level attribute rather than describing any relationships between pieces. It mentions material balance ('gleiht sich das Material aus') and lack of advantages ('Keiner hat irgendwelche Vorteile') without discussing how pieces interact or create strategic patterns. The reference to 'unterschiedliches Material' refers to material composition as an attribute, not relational structure.;0.0;3.0;;"Material; Vorteile; unterschiedliches Material";"Material; unterschiedliches Material; Vorteile";0.0;0.0;1.0;0.0;success;2025-07-31 11:03:48;
17;12;8;-1;8/8/4bb1k/7p/8/2B3P1/5K2/8;Läufer auf c3 und Läufer auf f6 stechen sich gegenseitig aus.  Der Rest gleicht sich ebenfalls aus und es kann im Remi enden.;5;54f1cace7a;Advanced;2024-04-30 07:01:05;2024-11-13 15:52:09;2;5;2;1;4;1;3;;;1289;0.765625;7;1;31.1818;8.0;structural;The response demonstrates structural thinking by focusing on the mutual relationship between the bishops (they 'stecken sich gegenseitig aus' - they cancel each other out) and the overall balance in the position ('der Rest gleicht sich ebenfalls aus' - the rest also balances out). While it mentions specific pieces and their positions, the core analysis centers on the interaction and equilibrium between pieces rather than their isolated attributes.;2.0;2.0;"stecken sich gegenseitig aus; der Rest gleicht sich ebenfalls aus";"Läufer auf c3; Läufer auf f6";"stecken sich gegenseitig aus; der Rest gleicht sich ebenfalls aus";1.0;0.0;0.0;0.5;success;2025-07-31 09:45:19;
